,author,category,content,published_date,title,url
0,Pragya Swastik,business,"Former Finance Minister P Chidambaram on Thursday said, ""Nothing sums up the state of the economy better than the following series of numbers: 8, 7, 6.6, 5.8, 5 and 4.5."" He added, ""Those are the quarterly growth rates of GDP in the last six quarters."" ""We'll be lucky if growth rate touches 5% by the year's end,"" he further said.",2019-12-05T10:41:04.000Z,"8, 7, 6.6, 5.8, 5 & 4.5 is the state of economy: Chidambaram on GDP growth",https://inshorts.com/en/read/business
1,Krishna Veera Vanamali,business,"SoftBank CEO Masayoshi Son has said the decision to invest $20 million in Alibaba in 2000 was driven by gut feeling. ""I could smell him...We're the same animal. We are both a little crazy,"" Son said of Jack Ma, Alibaba's Co-Founder. Ma said Son insisted on investing $50 million but that he declined saying it was too large a sum.",2019-12-06T16:27:31.000Z,"We are the same animal, we are both a little crazy: Masayoshi Son on Jack Ma",https://inshorts.com/en/read/business
2,Kanishka Pandey,business,"Google's 47-year-old India-born CEO Sundar Pichai, recently named the CEO of Google-parent Alphabet as well, rejected a ""big new grant"" of restricted stock in 2018 because he felt he was already paid generously, Bloomberg reported. Pichai, who joined Google in 2004, was made its CEO in 2015. He reportedly hasn't received an equity award in over two years.",2019-12-06T03:32:57.000Z,Sundar Pichai rejected Google shares worth millions in 2018: Bloomberg,https://inshorts.com/en/read/business
3,Kanishka Pandey,business,"SoftBank Founder and CEO Masayoshi Son, in a discussion with Alibaba Co-founder Jack Ma, said his decision to invest $20 million in the e-commerce platform in 2000 was driven by a gut feeling. Son said other founders he met then didn't have ""true belief in their heart"". Ma revealed that Son initially tried to invest $50 million, but he declined. ",2019-12-06T11:27:06.000Z,Gut feeling drove me to invest $20M in Alibaba in 2000: SoftBank CEO,https://inshorts.com/en/read/business
4,Krishna Veera Vanamali,business,"In a bid to provide relief to depositors of scam-hit Punjab and Maharashtra Cooperative (PMC) Bank, Maharashtra government has suggested a merger of the bank with the Maharashtra State Cooperative Bank. If needed, the state government will speak to the RBI on the issue of the merger, state minister Jayant Patil said. He added that MSC Bank's health is good.",2019-12-05T12:42:14.000Z,Maharashtra govt suggests merger of PMC Bank with MSC Bank,https://inshorts.com/en/read/business
5,Nandini Sinha,business,"The Asian Development Bank (ADB) has approved an emergency loan worth $1 billion for Pakistan. The loan is part of a multi-donor economic reform programme led by the IMF to ""shore up (Pakistan's) public finances"" and help strengthen its ""slowing economy"", ADB said. It also approved a $300 million policy-based loan for Pakistan for the country's energy sector.",2019-12-06T11:21:53.000Z,Asian Development Bank approves $1 billion emergency loan for Pakistan,https://inshorts.com/en/read/business
6,Krishna Veera Vanamali,business,"Air India's loss in 2018-19 has been provisionally estimated at ₹8,556 crore, compared to a loss of ₹5,348 crore in the previous year, Civil Aviation Minister Hardeep Singh Puri said in the Lok Sabha. This is Air India's biggest loss since its merger with Indian Airlines in 2007-08. The national carrier has received equity infusion of ₹30,520 crore since 2011-12.",2019-12-06T02:30:47.000Z,"Air India's loss in 2018-19 provisionally estimated at record ₹8,556 crore",https://inshorts.com/en/read/business
7,Krishna Veera Vanamali,business,"Swedish manufacturer Saab has said it wants to control the ""entire system"" including local manufacturing if it wins India's $15-billion contract for 114 fighter jets. Saab has partnered with Adani Group for the bid. ""If a company needs to take responsibility for quality, time, cost and capability...I want to have some sort of control of that,"" CEO Micael Johansson said.",2019-12-05T10:25:52.000Z,Want control of manufacturing if we win $15bn India fighter jet deal: Saab,https://inshorts.com/en/read/business
8,Krishna Veera Vanamali,business,"The RBI has said it is investigating the two-day outage of net banking and mobile banking operations of HDFC Bank. ""Our team has gone to really identify the reasons and find out what we can give them (HDFC Bank) as a direction,"" RBI Deputy Governor MK Jain said. The bank restored the services fully by Thursday morning.",2019-12-06T03:30:15.000Z,RBI probing net banking and mobile banking outage at HDFC Bank,https://inshorts.com/en/read/business
9,Dharna,business,"State-controlled oil giant Saudi Aramco has raised $25.6 billion in the world's largest initial public offering (IPO) yet. The record was earlier held by Chinese conglomerate Alibaba's $25 billion listing on the New York Stock Exchange in 2014. Valued at nearly $1.7 trillion in the IPO, Aramco sold 1.5% or 3 billion shares for 32 riyals or $8.53 each.",2019-12-06T05:32:47.000Z,Saudi Aramco raises $25.6 billion in world's biggest IPO yet,https://inshorts.com/en/read/business
10,Krishna Veera Vanamali,business,"Hiranandani Group's H-Energy on Thursday said it expects its liquefied natural gas (LNG) import terminal at Maharashtra's Jaigarh to start operations in the first quarter of 2020. The terminal will be India's first floating storage and regasification unit (FSRU). It has been delayed on several occasions, with the previous deadline being the fourth quarter of this year.",2019-12-06T15:24:53.000Z,Jaigarh LNG terminal to launch in 1st quarter 2020: Hiranandani's H-Energy,https://inshorts.com/en/read/business
11,Krishna Veera Vanamali,business,"The Indonesian government has decided to fire flag carrier Garuda Indonesia's CEO Ari Askhara for smuggling a Harley-Davidson bike worth ₹41 lakh into the country on a new Airbus plane from France. Askhara had ordered the bike last year and bought it in April 2019. The payment was made through a Garuda finance manager based in Amsterdam, the government said.
",2019-12-05T14:43:07.000Z,Indonesia fires flag carrier's CEO for smuggling ₹41 lakh Harley on jet,https://inshorts.com/en/read/business
12,Krishna Veera Vanamali,business,"An RBI survey showed that consumer confidence in India has dropped to its lowest since at least 2014. The Current Situation Index fell to 85.7 in November from 89.4 in September, according to the survey, where a reading below 100 denotes pessimism. Consumers across 13 big cities were surveyed about perceptions on the economic situation, employment, price levels and income.",2019-12-06T10:31:47.000Z,RBI survey shows Indian consumers most pessimistic in over 5 years,https://inshorts.com/en/read/business
13,Krishna Veera Vanamali,business,"Vodafone Idea Chairman Kumar Mangalam Birla has warned the operator ""will have to shut shop"" if the government doesn't provide relief on payment of ₹53,038-crore dues following a court ruling. ""It doesn't make sense to put good money after bad,"" Birla said. The government publicly stated it wants three players from private sector and one from public sector, he added.",2019-12-06T09:34:02.000Z,Vodafone Idea will have to shut shop if there's no govt relief: Kumar Birla,https://inshorts.com/en/read/business
14,Aishwarya,business,"A study by a British organisation that certifies businesses for good tax conduct stated six of Silicon Valley's top tech giants avoided paying over $100 billion in taxes over the past decade. It analysed global tax payments made by Amazon, Facebook, Google, Apple, Netflix and Microsoft. The research found over a $100-billion difference between their provisions and actual taxes paid. ",2019-12-05T17:26:35.000Z,6 tech giants contributed to $100 bn 'tax gap' in 10 yrs: Study,https://inshorts.com/en/read/business
15,Aishwarya,business,"The government said it was trying to set up a fully computerised intellectual property rights (IPR) office in India akin to the US. Commerce Minister Piyush Goyal said government had brought a lot of ""sanity"" to the working of eight areas of IPR. It was also trying to computerise every process to stop the need to go to IPR offices.  ",2019-12-06T16:52:34.000Z,India trying to set up US-like intellectual property rights office,https://inshorts.com/en/read/business
16,Dharna,business,"Maruti Suzuki India has announced a recall of more than 63,000 units of the petrol smart hybrid variants of its Ciaz, Ertiga and XL6 vehicles. The automaker said the affected vehicles, manufactured between January 1 and November 21, had a potential safety defect in the Motor Generator Unit. Maruti Suzuki added it will replace the relevant faulty parts for free.",2019-12-06T10:15:13.000Z,"Maruti Suzuki India to recall over 63,000 units of Ciaz, Ertiga, XL6",https://inshorts.com/en/read/business
17,Kirti Joshi,business,"Aditya Birla Group Chairman, Kumar Mangalam Birla, on Friday said that it could take the Indian economy 18-20 months before it improves. ""Government has taken many steps but we need a stronger fiscal stimulus. If GST is brought down to 15%, that would be a huge stimulus,"" Birla added. Notably, India's second-quarter GDP growth fell to 26-quarter low of 4.5%.",2019-12-06T16:00:24.000Z,May take 18 to 20 months for economy to recover: Kumar Birla,https://inshorts.com/en/read/business
18,Sakshita Khosla,business,"Prime Minister Narendra Modi on Friday said that the banking sector has emerged from crisis of the past and that ""banking situation is much better"". ""Now, there will be no questions about genuine business decisions"", he added. He said that his government showed courage in merging banks and recapitalising them to the tune of ₹2.5 lakh crore to strengthen them.",2019-12-06T14:35:24.000Z,Genuine business decisions won't be questioned: PM Modi to bankers,https://inshorts.com/en/read/business
19,Anushka Dixit,business,"RBI Governor Shaktikanta Das said central bank has ""a fairly good idea"" of where NBFC sectors' vulnerabilities lie and are closely monitoring it. ""We are, wherever required, making a deep dive into their books, their balance sheet and other numbers,"" Das said. The NBFC sector has reportedly been facing a funding crunch since 2018 after defaults at IL&FS Group subsidiaries.
",2019-12-05T12:08:30.000Z,RBI has good idea of vulnerabilities in NBFC sector: Shaktikanta Das,https://inshorts.com/en/read/business
20,Anushka Dixit,business,"IL&FS has reported a loss of ₹22,527 crore for the year ended March 2019 compared to a net profit of ₹333 crore last year. The company has posted a revenue of ₹824 crore, against ₹1,734 crore in the previous year and its liabilities rose to ₹21,083 crore. IL&FS is currently undergoing a debt resolution process in the bankruptcy court.",2019-12-05T14:27:25.000Z,"IL&FS reports ₹22,527 crore net loss for FY19",https://inshorts.com/en/read/business
21,Dharna,business,"RBI Governor Shaktikanta Das has said that the bank would consider the creation of India's own digital currency and has held discussions regarding the same. However, the central bank maintained its stance against the trading of private cryptocurrencies in the country. Das argued that the issuance of cryptocurrency is a sovereign function and cannot be handed to private companies.",2019-12-06T09:00:42.000Z,"India could launch its own cryptocurrency, says RBI Governor",https://inshorts.com/en/read/business
22,Anushka Dixit,business,"Canada Pension Plan Investment Board (CPPIB) will invest up to $600 million through the National Investment and Infrastructure Fund (NIIF) Master Fund. CPPIB will also become a shareholder in NIIF's investment management firm. With CPPIB's investment, NIIF's Master Fund now has $2.1 billion in commitments including investment from AustralianSuper and Ontario Teachers' Pension Plan.",2019-12-05T17:40:20.000Z,Canada's CPPIB to invest up to $600 mn through NIIF Master Fund,https://inshorts.com/en/read/business
23,Dharna,business,"Sue Desmond-Hellmann, the CEO of Bill & Melinda Gates Foundation, is stepping down from the role after five years. The foundation's Global Policy & Advocacy President and Chief Strategy Officer, Mark Suzman, will occupy the position starting February 1, 2020. Desmond-Hellmann cited the growing needs of her family and toll of the travel required by the role as the reason.",2019-12-06T07:36:36.000Z,Gates Foundation CEO Sue Desmond-Hellmann to step down,https://inshorts.com/en/read/business
24,Anushka Dixit,business,"The Reserve Bank of India (RBI) has raised its lending limit to peer-to-peer (P2P) platforms five-folds to ₹50 lakh from current ₹10 lakh. However, the exposure of a single borrower is capped at ₹50,000 across all NBFC-P2P platforms. The decision was made after ""a review of the functioning of the lending platforms and lending limit was carried out by RBI.""",2019-12-05T14:29:28.000Z,RBI raises peer-to-peer lending limit five-times to ₹50 lakh,https://inshorts.com/en/read/business
25,Anmol Sharma,sports,"India chased down the target of 208 against West Indies in the first T20I at Hyderabad on Friday to register their highest successful T20I run chase. India's previous highest successful run chase had come on December 12, 2009 when they chased down a 207-run target against Sri Lanka. The second T20I of the three-match series will take place on Sunday.",2019-12-06T16:57:02.000Z,"India beat WI in 1st T20I, record their highest successful T20I run chase",https://inshorts.com/en/read/sports
26,Anmol Sharma,sports,"During a Mzansi Super League match against Durban Heat, Paarl Rocks' South African spinner Tabraiz Shamsi celebrated Wihan Lubbe's wicket by performing a magic trick on the field. The 29-year-old took out red handkerchief from his pocket and turned it into a stick. Shamsi had earlier said that he wanted to become a magician from the age of about 15-16.",2019-12-05T11:19:08.000Z,"South African bowler celebrates wicket with magic trick, video goes viral",https://inshorts.com/en/read/sports
27,Anmol Sharma,sports,"All-rounder Irfan Pathan has criticised ex-Pakistan all-rounder Abdul Razzaq for calling Jasprit Bumrah a 'baby bowler'. Requesting fans not to pay any heed to such statements, Irfan recalled Javed Miandad's 2004 statement, wherein he said bowlers like Pathan could be found in every street of Pakistan. Pathan added Indians uprooted Pakistan’s stumps every time they met on the cricket field.",2019-12-06T15:37:01.000Z,"Irfan Pathan criticises Razzaq for calling Bumrah 'baby bowler', trolls Pakistan",https://inshorts.com/en/read/sports
28,Anmol Sharma,sports,"Batsman Kedar Jadhav took to Instagram to share pictures of himself with a bat in his hand. ""Feels good to be back on the field and do what I like to do,"" Jadhav captioned the pictures. Trolling Jadhav for posing with the bat, Team India opener Rohit Sharma wrote, ""Pose kam maar, batting karle thoda.""",2019-12-05T14:38:23.000Z,"Pose kam maar, batting karle thoda: Rohit trolls Jadhav over Instagram pics",https://inshorts.com/en/read/sports
29,Anmol Sharma,sports,"Front foot no-balls in the T20I and ODI series between India and West Indies will be called by third umpire and not on-field officials, the ICC announced. ""If a late no-ball call is communicated...on-field umpire will rescind a dismissal (if applicable) and call no-ball,"" ICC said. It added the benefit of doubt in close calls will lie with the bowler.",2019-12-05T12:36:11.000Z,"3rd umpire, not on-field umpires, to call front foot no-balls in India-WI series",https://inshorts.com/en/read/sports
