Date/Time,Energy Produced (Wh)
2018-10-11 00:00:00 -0500,1985
2018-10-12 00:00:00 -0500,0
2018-10-13 00:00:00 -0500,0
2018-10-14 00:00:00 -0500,0
2018-10-15 00:00:00 -0500,0
2018-10-16 00:00:00 -0500,0
2018-10-17 00:00:00 -0500,0
2018-10-18 00:00:00 -0500,0
2018-10-19 00:00:00 -0500,0
2018-10-20 00:00:00 -0500,0
2018-10-21 00:00:00 -0500,0
2018-10-22 00:00:00 -0500,0
2018-10-23 00:00:00 -0500,0
2018-10-24 00:00:00 -0500,0
2018-10-25 00:00:00 -0500,0
2018-10-26 00:00:00 -0500,0
2018-10-27 00:00:00 -0500,0
2018-10-28 00:00:00 -0500,0
2018-10-29 00:00:00 -0500,0
2018-10-30 00:00:00 -0500,0
2018-10-31 00:00:00 -0500,0
2018-11-01 00:00:00 -0500,0
2018-11-02 00:00:00 -0500,0
2018-11-03 00:00:00 -0500,0
2018-11-04 00:00:00 -0500,0
2018-11-05 00:00:00 -0600,0
2018-11-06 00:00:00 -0600,0
2018-11-07 00:00:00 -0600,10777
2018-11-08 00:00:00 -0600,7677
2018-11-09 00:00:00 -0600,7889
2018-11-10 00:00:00 -0600,12209
2018-11-11 00:00:00 -0600,5609
2018-11-12 00:00:00 -0600,4110
2018-11-13 00:00:00 -0600,36114
2018-11-14 00:00:00 -0600,37061
2018-11-15 00:00:00 -0600,29391
2018-11-16 00:00:00 -0600,35673
2018-11-17 00:00:00 -0600,20122
2018-11-18 00:00:00 -0600,6790
2018-11-19 00:00:00 -0600,5008
2018-11-20 00:00:00 -0600,29069
2018-11-21 00:00:00 -0600,3959
2018-11-22 00:00:00 -0600,10918
2018-11-23 00:00:00 -0600,26740
2018-11-24 00:00:00 -0600,16798
2018-11-25 00:00:00 -0600,16335
2018-11-26 00:00:00 -0600,34607
2018-11-27 00:00:00 -0600,29816
2018-11-28 00:00:00 -0600,27088
2018-11-29 00:00:00 -0600,23021
2018-11-30 00:00:00 -0600,13192
2018-12-01 00:00:00 -0600,33702
2018-12-02 00:00:00 -0600,32048
